year,city,country,avg_temp
1923,Casablanca,Morocco,16.87
1924,Casablanca,Morocco,17.31
1925,Casablanca,Morocco,16.67
1926,Casablanca,Morocco,17.93
1927,Casablanca,Morocco,17.34
1928,Casablanca,Morocco,17.21
1929,Casablanca,Morocco,17.44
1930,Casablanca,Morocco,17.44
1931,Casablanca,Morocco,16.92
1932,Casablanca,Morocco,16.62
1933,Casablanca,Morocco,16.99
1934,Casablanca,Morocco,16.64
1935,Casablanca,Morocco,16.96
1936,Casablanca,Morocco,16.92
1937,Casablanca,Morocco,17.73
1938,Casablanca,Morocco,17.32
1939,Casablanca,Morocco,16.95
1940,Casablanca,Morocco,17.54
1941,Casablanca,Morocco,17.54
1942,Casablanca,Morocco,17.45
1943,Casablanca,Morocco,17.39
1944,Casablanca,Morocco,17.32
1945,Casablanca,Morocco,18.27
1946,Casablanca,Morocco,17.06
1947,Casablanca,Morocco,17.69
1948,Casablanca,Morocco,17.81
1949,Casablanca,Morocco,17.8
1950,Casablanca,Morocco,17.51
1951,Casablanca,Morocco,17.1
1952,Casablanca,Morocco,17.34
1953,Casablanca,Morocco,17.57
1954,Casablanca,Morocco,17.04
1955,Casablanca,Morocco,18.44
1956,Casablanca,Morocco,16.32
1957,Casablanca,Morocco,17.05
1958,Casablanca,Morocco,17.54
1959,Casablanca,Morocco,17.21
1960,Casablanca,Morocco,17.4
1961,Casablanca,Morocco,18.26
1962,Casablanca,Morocco,17.54
1963,Casablanca,Morocco,17.35
1964,Casablanca,Morocco,17.57
1965,Casablanca,Morocco,17.17
1966,Casablanca,Morocco,17.36
1967,Casablanca,Morocco,17.08
1968,Casablanca,Morocco,17.27
1969,Casablanca,Morocco,17.17
1970,Casablanca,Morocco,17.6
1971,Casablanca,Morocco,16.44
1972,Casablanca,Morocco,16.12
1973,Casablanca,Morocco,17.08
1974,Casablanca,Morocco,16.75
1975,Casablanca,Morocco,16.91
1976,Casablanca,Morocco,16.62
1977,Casablanca,Morocco,17.05
1978,Casablanca,Morocco,17.46
1979,Casablanca,Morocco,17.21
1980,Casablanca,Morocco,17.63
1981,Casablanca,Morocco,17.83
1982,Casablanca,Morocco,17.15
1983,Casablanca,Morocco,18.03
1984,Casablanca,Morocco,17.23
1985,Casablanca,Morocco,17.93
1986,Casablanca,Morocco,17.27
1987,Casablanca,Morocco,18.26
1988,Casablanca,Morocco,17.71
1989,Casablanca,Morocco,18.14
1990,Casablanca,Morocco,18.17
1991,Casablanca,Morocco,17.25
1992,Casablanca,Morocco,17.38
1993,Casablanca,Morocco,16.94
1994,Casablanca,Morocco,17.88
1995,Casablanca,Morocco,18.56
1996,Casablanca,Morocco,17.75
1997,Casablanca,Morocco,18.31
1998,Casablanca,Morocco,18.21
1999,Casablanca,Morocco,17.68
2000,Casablanca,Morocco,18.16
2001,Casablanca,Morocco,18.73
2002,Casablanca,Morocco,18.25
2003,Casablanca,Morocco,18.4
2004,Casablanca,Morocco,18.07
2005,Casablanca,Morocco,18.18
2006,Casablanca,Morocco,18.38
2007,Casablanca,Morocco,17.93
2008,Casablanca,Morocco,17.8
2009,Casablanca,Morocco,18.56
2010,Casablanca,Morocco,18.83
2011,Casablanca,Morocco,18.53
2012,Casablanca,Morocco,18.24
2013,Casablanca,Morocco,18.79
